Title,2ndTitle/use,archived,category,definition
Feeding Clinic.,N/A,,MEDICAL,"""[[FNAME]]'s {parent/caregiver:28140} reported significant concerns about feeding.  In particular, [[FNAME]] demonstrates [an insistence on multiple, specific routines being followed prior to eating and eats only a limited number of food items, ***]. In addition, [[HE]] eats limited food while at school. Thus, I would like to refer [[FNAME]] to the Pediatric Feeding Disorders Program.  The first visit should include an initial evaluation with a behavioral specialist in feeding, as well as a consultation with a dietician.  Initial assessment generally involves a nutritional assessment with Brianne Schmidt, RD, and behavioral feeding assessment with Dr. Kimberly Brown.  Evaluation can be scheduled by calling (585) 275-2986 and requesting feeding team appointment."""
Feeding Treatment. ,N/A,,MEDICAL,"""[[FNAME]]'s {parent/caregiver:28140} reported that [[HE]] eats a very limited number of food items. There are two potential ways in which [[FNAME]] and [[HIS]] family could access feeding treatment through our team.

            (1) Parent Support for Feeding Behavior. There is an ongoing research study, which focuses on feeding and mealtime behaviors. You can call Lisa Snow at (585) 275-2986 to inquire further.
            (2) Pediatric Feeding Disorders Program. The first visit should include an initial evaluation with a behavioral specialist in feeding, as well as a consultation with a dietician.  Initial assessment generally involves a nutritional assessment with Brianne Schmidt, RD, and behavioral feeding assessment with Dr. Kimberly Brown.  Evaluation can be scheduled by calling (585) 275-2986.
"""
Sleep Clinic.,N/A,,MEDICAL,"""I would recommend that [[FNAME]]'s family contact Pediatric Sleep Medicine Services to address [[FNAME]]'s current sleep difficulties.  This service focuses on treating sleep issues and sleep related breathing disorders in children and adolescents. It is a multidisciplinary clinic that involves specialists in a variety of areas including those from Pediatric Ear Nose and Throat or Craniofacial Surgery, Pediatric Medicine, Dentistry, Audiology and Speech and Language.  To make an initial appointment, please call the intake coordinator at (585) 340-8949 for an informational meeting. The Pediatric Sleep Medicine Services of the Strong Sleep Disorders Center is located at: 2180 South Clinton Ave., Rochester, NY 14618"""
Melatonin.,N/A,,MEDICAL,"""We also discussed the use of melatonin for sleep problems. Melatonin is a brain hormone that regulates sleep. A synthetic version is sold over the counter as a non-FDA regulated nutritional supplement. It may be available in liquid, rapid-melt, tablet, and long-acting formulas, and is found at many pharmacies or vitamin shops.  Controlled studies have shown that doses of 0.5- 6.0 mg given 30-60 minutes before bedtime can help children with autism and other developmental disabilities fall asleep more quickly.  Extended Release, (also called Controlled Release) melatonin swallow capsules may reduce night waking.  If chosen as a treatment, sleep patterns should be monitored, and a product without other vitamins or added supplement ingredients is recommended.  Sleep improves most when environmental and behavioral treatments are used in combination with Melatonin. Medication, over the counter or otherwise prescribed, should always be discussed with [[FNAME]]'s primary care provider first."""
Speech and Language Evaluation.,N/A,,MEDICAL,"""[[FNAME]] demonstrated presumed difficulties with expressive and pragmatic language during todayï¿½s evaluation, which is consistent with parent and teacher report. In particular, [[FNAME]] communicated [using brief verbal responses and he frequently indicated that he did not know the answer to questions; included recurrent grammatical errors and odd verbal responses, ***].  It is possible that [[HIS]] verbal presentation was related to oppositionality, but we would like to better characterize [[HIS]] language abilities, in case there is an underlying language impairment.  As such, it is recommended that [[FNAME]] obtain a comprehensive speech and language evaluation to further clarify their expressive and pragmatic abilities. An appointment with Dr. Dawn Vogler-Elias, who is a speech language pathologist at the Kirch Developmental Services Center, can be made by calling (585) 275-2986. The results of such an evaluation could help guide ongoing treatment planning as part of [[FNAME]]'s individualized education plan (IEP)."""
Autism Elopement Study.,N/A,,MEDICAL,"""[[FNAME]]ï¿½s {parent/caregiver:28140} reported a history of concerns regarding [[FNAME]] wandering and bolting when out in the community. I believe that [[FNAME]] and [[HIS]]  {parent/caregiver:28140} would be a good candidate for the Elopement in ASD study here at the University of Rochester Medical Center. More information about this study can be found on-line at:

https://www.urmc.rochester.edu/childrens-hospital/developmental-disabilities/research/treatment-studies/elopement-in-children-with-asd.aspx
"""
Intervention for Hand Mannerisms.,N/A,,MEDICAL,"""[[FNAME]] engages in motor hand mannerisms that have the potential to impact [[HIS]] social functioning, particularly as [[HE]] gets older. If this continues to be a concern for [[FNAME]]ï¿½s family, we recommend an intervention plan to address these behaviors, which may include the following elements:

Self-monitoring and reinforcement program. For many children, self-monitoring is the first step toward helping them decrease their target behavior. To increase [[FNAME]]ï¿½s awareness of [[HIS]] repetitive hand mannerisms, a reinforcement program should be implemented where both [[FNAME]] and an adult (e.g., parent, school personnel) keep track of each time [[FNAME]] engages in the behavior. If the frequency of [[FNAME]]ï¿½s hand movements falls below a pre-set criterion, [[HE]] receives points, which can then be exchanged for a reward. This criterion should be determined by [[FNAME]]ï¿½s initial rate of behavior and then lowered over time. For example, if [[FNAME]] initially uses hand mannerisms 5 times per hour, the criterion should be set at 6 times per hour (to ensure success and help [[FNAME]] gain momentum), and then faded incrementally 
Redirection to an incompatible response. [[FNAME]] should be taught a variety of behaviors that are incompatible with motor movements, such as putting [[HIS]] hands in [[HIS]] pockets and clasping [[HIS]] hands in [[HIS]] lap. [[FNAME]] would likely benefit from visual cues (e.g., a card on [[HIS]] desk that says ï¿½hands down,ï¿½ colored bracelets on [[HIS]] wrists) and gestural reminders (e.g., the teacher putting her hands together) to redirect [[HIM]] to a more appropriate behavior 
Competing items. Children with motor behaviors often benefit from the provision of a physical object (e.g., stress ball, silly putty) that competes with the mannerisms. Consider giving [[FNAME]] access to these types of objects in class, for transitions (e.g., walking in the hall), and when [[HE]] is out in the community, as well as during times when [[HE]] is most likely to engage in the behavior, such as when [[HE]] is excited or anxious
Scheduled time to engage in stereotypy. As it is often difficult to completely eliminate motor mannerisms, [[FNAME]] would benefit from the provision of specific times and/or places (e.g., [[HIS]] bedroom) in which [[HE]] is permitted to engage in these movements. In school, [[HIS]] teachers may consider giving him a ï¿½hall pass,ï¿½ which [[HE]] can use to take a walk or go to the bathroom 
Rob Rice, Ph.D. specializes in treating repetitive behaviors. His practice is located in Pittsford, and he can be reached at (585) 727-4811
"""
Ongoing Therapy.,continue therapy,,MEDICAL,"""I recommend ongoing therapy with [[FNAME]]ï¿½s current provider. Based on todayï¿½s evaluation [[FNAME]] meets criteria for ***, but there are additional diagnostic questions that deserve ongoing monitoring.  These behaviors deserve further observation over time.  Therapeutically, [[FNAME]] would likely continue to benefit from behavioral and cognitive behavioral approaches aimed at increasing [[FNAME]]'s behavioral flexibility, tolerance for others breaking rules and getting in their space.  [[HE]] would also likely benefit from social skills training to improve interactions with peers."""
Individual Therapy.,start therapy,,MEDICAL,"""I encourage [[FNAME]]ï¿½s family to seek behavioral/mental health treatment for [[HIM]] as well.  While medication can be a helpful adjunct to treatment, it does not explicitly teach a child alternate and more appropriate behavior, nor does it help parents with managing behavior problems they have to deal with on a regular basis. Working with an individual therapist can help children to recognize and respond to emotions in a productive way.  [[FNAME]]ï¿½s {parent/caregiver:28140} can learn strategies to support their child's emotional development and behavioral strategies to reduce negative behaviors. Strategies to identify a child therapist include:


A. Contacting the family insurance provider to determine in-network therapists
B.  Utilizing web-based resources available through the family insurance plan or publicly available (ie. Http://therapists.psychologytoday.com/rms/prof_search.php) to search for local therapists with the needed experience.
C.  Meeting with, and interviewing several therapists to find a ""good fit.""

Additional resources are available on the Kirch website at: http://www.Golisano.urmc.edu/Kirch"""
Anxiety Evaluation and Intervention.,N/A,,MEDICAL,"""During the evaluation, [[FNAME]] and [[HIS]] caregivers reported that [[HE]] experiences various symptoms of anxiety, including ***. Considering [[FNAME]]ï¿½s distress in these situations and the potential for anxiety to negatively impact the functioning of [[HIS]] family and [[HIM]], a comprehensive psychological evaluation is recommended at this time. This evaluation should further explicate the nature and severity of [[FNAME]]ï¿½s anxiety-related symptoms, including identifying situations in which anxiety is likely to occur and the extent to which these symptoms interfere with [[HIS]] functioning. The results of this evaluation should be used to inform a treatment approach and intervention goals. For example, Cognitive Behavioral Therapy (CBT) is an individualized, skill-based approach for treating anxiety disorders and other difficulties.
"""
Evaluation and Intervention for Mood.,N/A,,MEDICAL,"""Given [[FNAME]]'s significant emotional dysregulation (i.e., angry outbursts, mood swings, aggression), more mood-specific psychological evaluation is indicated to determine the nature and severity of [[HIS]] mood disturbance. Ideally, the results of this evaluation would be used to create a treatment plan that focuses on increasing [[FNAME]]'s coping skills, and improving [[HIS]] frustration tolerance. Some suggestions are provided here that could be incorporated into [[HIS]] treatment plan and/or used at home."""
Instruction in Emotion Identification and Coping Skills.,N/A,,MEDICAL,"""Direct instruction in emotion identification, including the use of visual supports (e.g., a feelings thermometer)
Teaching concrete strategies for managing negative emotions in the moment (e.g., relaxation training, coping thoughts). Relaxation scripts for children are available online at https://depts.washington.edu/hcsats/PDF/TF-%20CBT/pages/4%20Emotion%20Regulation%20Skills/Client%20Handouts/Relaxation/Relaxation%20Script%20for%20Younger%20Children.pdf
Practice for using these skills both in therapy and in naturalistic settings 
Working with [[FNAME]]ï¿½s family to teach them behavioral strategies to help ï¿½coachï¿½ [[FNAME]] during moments of frustration 
Examples of structured curricula for teaching emotion identification and frustration tolerance skills are listed below: 
The Incredible 5-Point Scale, by Kari Dunn Buron and Mitzi Curtis
A 5 is Against the Law! by Kari Dunn Buron"""
Frustration Tolerance Program.,N/A,,MEDICAL,"""This type of program is recommended to promote frustration tolerance through incremental changes and positive reinforcement and should be highly individualized and systematic.   

A reinforcement system chould be implemented, through which [[FNAME]] tracks [[HIS]] behavior (e.g., outbursts, task refusal) with help from adults and receives praise and external reinforcement (e.g., preferred activities) for tolerating frustrating situations.
Initially, [[FNAME]] should be exposed to low-frustration situations (e.g., easy tasks, small change in his routine) and should be highly reinforced for tolerating those situations.
When the first step has been established, the goal shifts to tolerating increasingly frustrating situations (e.g., difficult demands, going somewhere [[HE]] is not expecting), with accompanying reinforcement. These goals could be targeted both in therapy and also in naturalistic settings (e.g., home, community)
"""
Strategies to improve transitions.,N/A,,MEDICAL,"""Keep [[FNAME]]ï¿½s schedule consistent and use visual supports (e.g., activity schedules) to prepare [[HIM]] for [[HIS]] day. These schedules can also be used to provide a visual warning for when [[HE]] will transition between settings.
Provide warnings before transitions and use timers to signal the amount of time [[HE]] has left during preferred activities.
[[FNAME]] would benefit from clearly and consistent expectations among [[HIS]] environments, including similar responsibilities (e.g., clearing his plate, dressing himself) and similar expectations for what [[HE]] will do with assistance and what [[HE]] should do independently.
Intersperse easy and difficult demands to reduce [[NAME]]'s refusal to follow directions. For example [[HE]] may first be asked to bring [[HIS]] plate to the sink before being asked to clean up [[HIS]] toys.
Maintaining a calm environment (or providing [[HIM]] a secure space to calm down) may help alleviate transition-related stress.
Implement a reward chart, wherein [[FNAME]] receives points or stickers for following directions. These points can then be exchanged for toys or privileges (e.g., extra TV time, favorite dinner).
"""
Cognitive Behavioral Therapy (CBT).,N/A,,MEDICAL,"""[[FNAME]] would likely benefit from participation in regular therapy sessions focused on the development of coping skills, social problem solving, and building up a tolerance for when things do not go as planned. 


Concrete thinking and behavioral rigidity often interfere in [[FNAME]]ï¿½s daily life, at home and could presumably interfere more at school as social and organizational demands become more complex. This could increasingly interfere with [[HIS]] ability to function in social and academic settings. [[FNAME]]ï¿½s {parent/caregiver:28140} understand [[FNAME]] well and provide [[HIM]] with a great deal of support with how to cope with changes. They also provide [[FNAME]] with advanced warning about changes, so that [[HE]] can prepare for situations on the horizon. Although [[FNAME]]ï¿½s {parent/caregiver:28140}ï¿½ support is helpful and instrumental in [[HIS]] success, [[FNAME]] will need to internalize these coping skills so that [[HE]] can enlist them without prompting from others. 

CBT is a type of therapy that is designed to help improve a child's moods, anxiety, and behavior by examining confused or distorted patterns of thinking. Therapy sessions tend to be structured. The therapist teaches the child that thoughts cause feelings and moods, which in turn can influence behavior. One of the goals of CBT is to teach the child to identify harmful thought patterns that lead to depressed mood or anxious feelings. The therapist then helps the child replace this thinking with thoughts that result in more appropriate feelings and behaviors. Research shows that CBT can be effective in treating a wide range of conditions, especially symptoms of anxiety and depression. 
I recommended the family consider cognitive-behavioral therapy for treatment related to [[FNAME]]ï¿½s symptoms of [anxiety and rigid thinking and patterns of behavior, ***]. 

CBT is a specific type of individual therapy. It is evidence-based treatment for anxiety that looks at the relationships between thoughts, feelings, and behavior. A CBT therapist may use techniques such as coping strategies, relaxation, and biofeedback training. Strategies for identifying a child CBT therapist include: 

Contacting the family insurance provider to determine in-network therapists
Utilizing web-based resources available through the family insurance plan or publicly available (i.e., http://therapists.psychologytoday.com/rms/prof_search.php) to search for local therapists who are trained in CBT. 
Meeting with, and interviewing several therapists to find a ""good fit."" 
Additional resources are available on the Kirch website at: 
 https://www.urmc.rochester.edu/childrens-hospital/developmental-disabilities/services/kirch/Family-Resource-Directory/Mental-Health.aspx
"""
Consultation for Targeted Behavior Change.,N/A,,MEDICAL,"""[[FNAME]] and his mother both provided me with information about the level of support [[FNAME]] seeks and obtains with his writing and with planning related to academic activities while he is on campus at St. Johnï¿½s. They both commented on how certain social situations are uncomfortable or awkward on a recurring basis.  I recommend that [[FNAME]] work with a provider to develop a focused plan for increasing his level of functional independence related to academic activities and to develop effective coping strategies to address behavioral rigidity concerns. To that end, I am happy to meet with [[FNAME]], his family, or each of them separately for the duration of the summer to help facilitate this change process. Alternatively, I can work with [[FNAME]] and his family to determine an appropriate referral in the community here.
"""
Social Skills Training.,N/A,,MEDICAL,"""  I would recommend direct instruction to support [[FNAME]]'s development and use of social skills (e.g., social interaction, personal boundaries, social problem solving).  This should incorporate a Teach-Model-Rehearse-Reinforce format.  Training in social skills incorporates instructional strategies for developing social competence and social problem solving.  The resources listed below provide a list of solid instructional strategies for use with a wide range of students:

Development and use of Carol Gray's social stories and comic strip conversations for use at home as well as throughout the school day.  Social stories allow for direct teaching of social knowledge that some students do not acquire incidentally.  Comic strip conversations are a vehicle for exploring problem solving as well as scripting language for specific circumstances/occasions.  A member of [[FNAME]]'s team (e.g., psychologist, speech language pathologist, special education teacher) can be identified as a ""point person"" for developing, teaching and rehearsing the social stories.  They should be tracked with specific record keeping procedures.  Information about social stories can be found at www.thegraycenter.org
McGinnis, Ellen and Goldstein, Arnold P.  (1997). Champaign, Illinois: Research Press.  Includes checklists for families and schools to assess skills as well as specific lessons to teach skills referenced in checklists.  This reference can be used as an informal assessment tool, which will help identify instructional priorities.
SOCCSS (Situation, Options, Consequences, Choices, Strategies, Simulation) program can be used as a vehicle for teaching social problem solving skills.  This program follows a consistent, systematic format; incorporates the use of actual events as a vehicle for instruction; and utilizes visual supports in the form of a graphical organizer.  Information about SOCCSS can be found in the following reference:  Myles, Brenda Smith., Trautman, Melissa L., and Schelvan, Ronda L.  (2004). Shawnee Mission, KS: Autism Asperger Publishing Company.
"""
Social Skills Group.,N/A,,MEDICAL,"""[[FNAME]] does not currently have close relationships with same-age peers, so it will be important for [[HIM]] to practice skills learned from [[HIS]] special education program. It is recommended that [[FNAME]]'s consider enrolling [[FNAME]] in the Program for the Education and Enrichment of Relational Skills (PEERS), which is an evidence-based group therapy for adolescents with pervasive developmental disorders and their caregivers. The program runs for 14 weeks and includes group sessions during which teens learn and practice different social skills; the {parent/caregiver:28140} meet concurrently, but separately, to learn how to support their teens with generalizing the skills taught during group. This treatment model is implemented at Strong Behavioral Health Child and Adolescent Psychiatry, so it is recommended that [[FNAME]]ï¿½s {parent/caregiver:28140} call this clinic at (585) 279-7800 to learn about PEERS."""
Women's Group.,N/A,,MEDICAL,"""The Womenï¿½s Group is a group that helps young women with developmental disabilities (ages 18-30) discover and nurture their passions in life while building lasting friendships. Active in the community, the group also seeks to bolster membersï¿½ socialization skills. Contact Elli Assiobo-Tipoh for more information at (585) 719-3435 or eassiobo@people-inc.org."""
Recreation.,N/A,,MEDICAL,"""[[FNAME]] should develop and participate in enjoyable recreational activities.  These activities could provide [[FNAME]] with increased opportunities for socialization with peers.  In addition, these recreational settings can be used for incidental teaching of social skills that are actively taught in school and through more formal social skills programs.  Examples include religious organization youth groups, YMCA, Park and Recreation activities as well as school level interest groups such as computers, chess or others.  [[FNAME]]ï¿½s {parent/caregiver:28140} are encouraged to limit the amount of TV/videos a child sees and to monitor for content.  I strongly encourage use of parental controls on family computers. For additional recommendations for screen time, please refer to the following guidelines provided by the American Academy of Pediatrics: https://www.aap.org/en-us/advocacy-and-policy/aap-health-initiatives/pages/media-and-children.aspx 
"""
Sports.,N/A,,MEDICAL,"""Rochester Special Hockey: The Rochester Special Hockey is an organization that specializes in providing training in the game of ice hockey for individuals with developmental disabilities. Teams are geared to individual needs with an emphasis on sportsmanship and learning to interact with others.  They are a 501c3 Not for Profit volunteer organization with support coming from all our families, both as coaches, trainers, drivers and most of all fans. More information about Rochester Special Hockey can be found at www.rochesterspecialhockey.org or by calling (585) 723-8896
"""
Starbridge TIES Program.,N/A,,MEDICAL,"""[[FNAME]] may benefit from participation in the TIES program. Together Including Every Student (TIES) promotes the participation of students with developmental disabilities in extracurricular and community activities by creating effective, natural support provided by trained student volunteers.  To determine whether [[FNAME]] is eligible for participation in this program, please contact:

Web address: http://www.starbridgeinc.org/how-we-can-help/community-transformation/ties-together-including-every-student
Phone number: (585) 546-1700
"""
Special Education and Related Services.,N/A,,EDUCATION,"""[[FNAME]]’s {parent/caregiver:28140} reported that [[FNAME]] *** an Individualized Education Plan (IEP) at this time. It will be important for [[FNAME]] to have an educational team to coordinate services and develop a ***. It is recommended that [[FNAME]]’s {parent/caregiver:28140} call their school district to request a Committee for Special Education (CSE) meeting to determine [[FNAME]]’s eligibility for special education and related services. Per {parent/caregiver:28140}’s report, [[FNAME]] is having a difficult time in the school setting.  A Functional Behavioral Analysis (FBA) may help to identify specific problems, situations in which they are most likely to occur and to develop strategies and supports to help [[FNAME]] be more successful while continuing to develop independence. Based on [[FNAME]]’s individual needs, the CSE will make a determination about the type, amount, and location of service delivery. """
Multi-Disciplinary Educational Evaluation.,N/A,,EDUCATION,"""I would recommend that [[FNAME]] receive an evaluation of [[HIS]] current intellectual abilities, achievement level, receptive, expressive, and pragmatic language abilities, adaptive behavior, and social-emotional behaviors. This will provide critical information as it relates to educational planning and determining [[HIS]] eligibility for Developmental Disabilities Regional Office case management and Medicaid Waiver services."""
Special Education Considerations:,N/A,,EDUCATION,"""Educational and behavioral interventions for children need to be individualized to meet their needs. Several principals need to be considered:

Children should be educated in the least restrictive environment when possible.
Students with *** often benefit from predictability and routine.
Consider a teach- model-rehearse approach. 
The social skills curriculum needs to reflect the child’s language level.
Children with *** may have impairments in imitation and understanding inference
The educational team would likely benefit from training and support from professional staff to meet the child’s programmatic needs.
Children benefit from reinforcement of communication and social goals outside of school or therapy hours.
"""
Components of Effective Treatment.,N/A,,EDUCATION,"""[[FNAME]]’s family should contact their CPSE/CSE chair with results of this evaluation and should use this report as documentation of the diagnosis.  The Committee may need to re-convene to modify and intensify services.   Classification based on a diagnosis of an autism spectrum disorder would be appropriate and may help to describe educational needs. A body of research has accumulated about effective treatment for children with autism spectrum disorders. A general list of components of an educational program is presented below. How these are implemented is best determined by people who work with [[FNAME]] closely. 



Comprehensive curriculum focusing on teaching a wide range of skills, including attention to the environment, imitation, comprehension and production of language, functional communication, toy play, and peer interaction.
Highly supportive teaching environments structured to maximize attention to instructional activities and to facilitate the use of skills in everyday settings.
Emphasis on providing children with predictability and routine.
Functional behavior analytic approach to assessing and treating behavior problems.
Systematic intervention for facilitating transitions from home to school setting.
Consultation or supervision by a professional with expertise in interventions for children with autism spectrum disorders.
"""
Peer Model. ,N/A,,EDUCATION,"""I would encourage the school team to consider identifying a peer model with strong social and leadership skills, who could provide structure and support for [[FNAME]] during less structured parts of the day, like recess or lunch. One barrier to participation in recess or lunchtime activities may be anxiety around not knowing how to join in.  A positive peer model already involved in these types of activities could demonstrate joining in skills and help [[FNAME]] interact more successfully with classmates."""
Educational Placement.,N/A,,EDUCATION,"""Decisions regarding [[FNAME]]’s educational placement should ultimately be informed by the results of his most recent educational evaluation.   In general, [[FNAME]] would benefit from a classroom setting with special education instruction and behavioral supports. [[FNAME]]’s level of functioning suggests that [[HE]] would be well-served in a classroom that incorporates the following characteristics:

Small class size or a small student-to-teacher ratio
Instructional support from a teacher or aide
Organizational support for materials, assignments, and homework
"""
General Accommodations to Increase Attention.,N/A,,EDUCATION,"""I would also recommend academic accommodations to support appropriate attention during group instruction, such as:

Preferential seating to help decrease distractions and to accommodate [[HIS]] auditory processing differences.
Repetition of information to enhance encoding and memory of information. Efforts should be made to create an educational environment that is open to requests for repetition of directions.  
[[FNAME]] will likely require structure, consistent adult attention, redirection, encouragement and praise in order to stay on task and perform at [[HIS]] maximal level. 
It could be helpful to work with a behavior specialist to implement a consistent behavior management plan that reinforces attention to task and work completion.
"""
